time	V(out)
2.902894043571939e-03	3.265666e+00
2.904340565357909e-03	3.263342e+00
2.905787087143878e-03	3.261456e+00
2.907233608929848e-03	3.260008e+00
2.908680130715818e-03	3.258999e+00
2.910126652501787e-03	3.258427e+00
2.915009465001787e-03	3.258732e+00
2.919892277501787e-03	3.263060e+00
2.920979237858675e-03	3.264488e+00
2.922066198215562e-03	3.266179e+00
2.923153158572450e-03	3.268132e+00
2.924240118929338e-03	3.270347e+00
2.925327079286225e-03	3.272825e+00
2.926414039643113e-03	3.275565e+00
2.927501000000000e-03	3.278567e+00
2.927501300000000e-03	3.278568e+00
2.927501600000000e-03	3.278569e+00
2.927502000000000e-03	3.278570e+00
2.932436245000255e-03	3.290752e+00
2.937370490000511e-03	3.300954e+00
2.942304735000766e-03	3.309176e+00
2.947238980001021e-03	3.315416e+00
2.952173225001277e-03	3.319677e+00
2.957107470001532e-03	3.321956e+00
2.962041715001787e-03	3.322255e+00
2.966924527501787e-03	3.320934e+00
2.971807340001787e-03	3.317948e+00
2.976690152501787e-03	3.313361e+00
2.981572965001787e-03	3.307237e+00
2.986455777501787e-03	3.299638e+00
2.988382523572960e-03	3.296336e+00
2.990309269644133e-03	3.292809e+00
2.992236015715307e-03	3.289055e+00
2.994162761786480e-03	3.285077e+00
2.996089507857653e-03	3.280873e+00
2.998016253928826e-03	3.276443e+00
2.999943000000000e-03	3.271788e+00
2.999951000000000e-03	3.271768e+00
3.000000000000000e-03	3.271647e+00
3.000000100000000e-03	3.271647e+00
3.000000300000000e-03	3.271646e+00
3.000000600000000e-03	3.271646e+00
3.000001000000000e-03	3.271645e+00
3.001447521785969e-03	3.268444e+00
3.002894043571939e-03	3.265682e+00
3.004340565357909e-03	3.263358e+00
3.005787087143879e-03	3.261472e+00
3.007233608929848e-03	3.260024e+00
3.008680130715818e-03	3.259015e+00
3.010126652501788e-03	3.258444e+00
3.015009465001787e-03	3.258748e+00
3.019892277501787e-03	3.263076e+00
3.020979237858675e-03	3.264505e+00
3.022066198215562e-03	3.266195e+00
3.023153158572450e-03	3.268148e+00
3.024240118929337e-03	3.270363e+00
3.025327079286225e-03	3.272841e+00
3.026414039643112e-03	3.275581e+00
3.027501000000000e-03	3.278583e+00
3.027501300000000e-03	3.278584e+00
3.027501600000000e-03	3.278584e+00
3.027502000000000e-03	3.278586e+00
3.032436245000255e-03	3.290768e+00
3.037370490000511e-03	3.300969e+00
3.042304735000766e-03	3.309191e+00
3.047238980001021e-03	3.315431e+00
3.052173225001276e-03	3.319691e+00
3.057107470001532e-03	3.321971e+00
3.062041715001787e-03	3.322269e+00
3.066924527501787e-03	3.320948e+00
3.071807340001787e-03	3.317961e+00
3.076690152501787e-03	3.313374e+00
3.081572965001787e-03	3.307250e+00
3.086455777501787e-03	3.299651e+00
3.088390666430103e-03	3.296334e+00
3.090325555358419e-03	3.292790e+00
3.092260444286735e-03	3.289019e+00
3.094195333215051e-03	3.285020e+00
3.096130222143367e-03	3.280794e+00
3.098065111071684e-03	3.276340e+00
3.100000000000000e-03	3.271660e+00
3.100000100000000e-03	3.271659e+00
3.100000300000000e-03	3.271659e+00
3.100000600000000e-03	3.271658e+00
3.100001000000000e-03	3.271657e+00
3.101447521785969e-03	3.268457e+00
3.102894043571939e-03	3.265694e+00
3.104340565357909e-03	3.263370e+00
3.105787087143879e-03	3.261484e+00
3.107233608929848e-03	3.260037e+00
3.108680130715818e-03	3.259027e+00
3.110126652501787e-03	3.258456e+00
3.115009465001787e-03	3.258759e+00
3.119892277501787e-03	3.263088e+00
3.120979237858675e-03	3.264516e+00
3.122066198215562e-03	3.266207e+00
3.123153158572450e-03	3.268159e+00
